ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,C12orf49,79794,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C19orf47,126526,PAR-CLIP,21572407|20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C19orf53,28974,PAR-CLIP,23592263|26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C1GALT1,56913,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C1ORF21,81563,PAR-CLIP,20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C1RL,51279,PAR-CLIP,23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C1orf21,81563,PAR-CLIP,20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C1orf210,149466,HITS-CLIP//PAR-CLIP,23446348|21572407|23706177,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C1orf27,54953,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C20orf72,92667,pSILAC//Proteomics;Other,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C2orf18,54978,pSILAC//Proteomics;Other,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C2orf44,80304,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C5ORF51,285636,PAR-CLIP,23592263|27292025|24398324|20371350|23446348|26701625|21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C5orf15,56951,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C5orf24,134553,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C5orf51,285636,PAR-CLIP,23592263|24398324|23446348|21572407|20371350|26701625|27292025,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C6orf62,81688,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,C9orf156,51531,PAR-CLIP,23446348,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CA12,771,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CACNG8,59283,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CALCOCO2,10241,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CALU,813,PAR-CLIP,20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CAPG,822,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CARHSP1,23589,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CASTOR2,729438,PAR-CLIP,26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CBFB,865,Microarray,17699775,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CBX5,23468,CLASH//PAR-CLIP,23622248|21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CBX6,23466,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCBL2,56267,pSILAC//Proteomics;Other,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCDC115,84317,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCDC134,79879,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCDC186,55088,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCDC71,64925,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNA1,8900,Reporter assay,18379589,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNA2,890,Immunoblot//Immunofluorescence//Luciferase reporter assay//qRT-PCR,18379589,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNB1,891,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNB2,9133,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCND1,595,Annexin V-FITC//immunoblot//Immunoblot//Immunofluorescence//Luciferase reporter assay//Microarray//Northern blot//PAR-CLIP//qRT-PCR//Reporter assay//Western blot,18379589|20133835|23806108|23592263|26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCND2,894,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//QRTPCR//Western blot,17699775|17942906|23482325,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCND3,896,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNF,899,CLASH//Microarray,17699775|23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNG1,900,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CCNJ,54619,Microarray,17699775,Breast cancerous tissues
